country,gdpgr,polity2,democ
Afghanistan,6.75588045,-1,0
Albania,3.065088856,9,1
Algeria,2.87,2,0
Angola,3.689168621,-2,0
Argentina,1.645376825,8.3,1
Armenia,2.465001136,5,0
Australia,2.649215257,10,1
Austria,0.939651353,10,1
Azerbaijan,3.172421659,-7,0
Bahrain,3.873806745,-8.7,0
Bangladesh,6.264153187,2.2,0
Belarus,2.417012676,-7,0
Belgium,1.127004245,8,1
Benin,4.254866759,7,1
Bhutan,6.391227698,4,0
Bolivia,4.953148418,7.1,1
Bosnia,1.526044033,,
Botswana,3.86672596,8,1
Brazil,1.611361487,8,1
Bulgaria,1.925633622,9,1
Burkina Faso,5.497936744,1.8,0
Burundi,2.744276777,3.9,0
Cambodia,6.270558878,1.4,0
Cameroon,4.291987249,-4,0
Canada,1.605207735,10,1
Cape Verde,2.272639395,10,1
Central African Republic,0.182439591,0.7,0
Chad,3.590937284,-2,0
Chile,3.030424987,10,1
China,8.256791833,-7,0
Colombia,3.576544607,7,1
Comoros,3.315254179,9,1
Congo Brazzaville,3.598050267,-4,0
Congo Kinshasa,6.114526399,3.4,0
Costa Rica,3.479420433,10,1
Cote D'Ivoire,7.836920304,4,0
Croatia,-0.123630474,9,1
Cuba,2.433182392,-7,0
Cyprus,0.66665427,10,1
Czech Republic,1.547494911,9,1
Denmark,0.81931523,10,1
Djibouti,6.683024399,2.5,0
Dominican Republic,4.852469389,7.8,1
East Timor,0.352845901,7.5,1
Ecuador,3.393527881,5,0
Egypt,3.896915144,-3.4,0
El Salvador,2.037697457,7.9,1
Equatorial Guinea,-0.127518944,-6,0
Eritrea,1.241865501,-7,0
Estonia,0.829468011,9,1
Ethiopia,10.21372883,-3,0
Fiji,2.965495437,-1.6,0
Finland,0.201840477,10,1
France,0.78379943,9,1
Gabon,3.265838536,2.3,0
Gambia,2.823052168,-4.1,0
Georgia,3.7517546,6.5,1
Germany,1.287648018,10,1
Ghana,6.921332103,8,1
Greece,-2.817326624,10,1
Guatemala,3.167313343,8,1
Guinea,5.193989699,2.1,0
Guinea-Bissau,4.009214011,5,0
Guyana,3.757390378,6.3,1
Haiti,2.009503829,2,0
Honduras,3.186621042,6.8,1
Hungary,1.18967518,10,1
India,6.727387845,9,1
Indonesia,5.460699379,8.4,1
Iran,2.249747332,-6.9,0
Iraq,6.298835683,4.5,0
Ireland,3.971350638,10,1
Israel,3.42777148,6,1
Italy,-0.487469676,10,1
Ivory Coast,5.082192718,2.5,0
Jamaica,-0.100298108,9,1
Japan,0.51972129,10,1
Jordan,3.269459631,-3,0
Kazakhstan,4.06,-6,0
Kenya,5.03121955,8.3,1
Korea North,,-10,0
Korea South,3.102757524,8,1
Kosovo,3.379095914,8,1
Kuwait,0.974468141,-7,0
Kyrgyzstan,4.437261819,5.8,0
Laos,7.674203095,-7,0
Latvia,0.142623762,8,1
Lebanon,3.805441601,6,1
Lesotho,3.648523228,8,1
Liberia,4.501485151,6,1
Libya,4.538050117,-2.1,0
Lithuania,1.505814834,10,1
Luxembourg,2.004686275,10,1
Macedonia,2.385504139,9,1
Madagascar,2.464106992,4,0
Malawi,4.976583845,6,1
Malaysia,4.749400112,5.6,0
Mali,4.37794974,5.3,0
Mauritania,3.233234207,-2.3,0
Mauritius,3.896303756,10,1
Mexico,2.07563417,8,1
Moldova,3.69333682,9,1
Mongolia,7.202693699,10,1
Montenegro,2.105564089,9,1
Morocco,3.927441422,-4.6,0
Mozambique,6.340411943,5,0
Myanmar (Burma),7.939476542,-1.2,0
Namibia,3.744611819,6,1
Nepal,4.591009878,6,1
Netherlands,0.872202163,10,1
New Zealand,2.152670252,10,1
Nicaragua,4.111007964,8.4,1
Niger,5.832596346,4.6,0
Nigeria,4.716780419,4.9,0
Norway,1.15012999,10,1
Oman,4.445265756,-8,0
Pakistan,3.727851664,6.3,1
Panama,6.60095523,9,1
Papua New Guinea,5.686495899,4.6,0
Paraguay,4.658519931,8.5,1
Peru,4.898084269,9,1
Philippines,5.611440488,8,1
Poland,3.385292093,10,1
Portugal,0.036875829,10,1
Qatar,8.303271283,-10,0
Romania,2.66822815,9,1
Russia,1.205179491,4,0
Rwanda,7.319392493,-3.3,0
Saudi Arabia,3.602556833,-10,0
Senegal,4.552919401,7,1
Serbia,1.347869004,8,1
Sierra Leone,5.037004321,7,1
Singapore,4.549667276,-2,0
Slovak Republic,2.400984166,10,1
Slovenia,0.743107981,10,1
Solomon Islands,4.165274154,8,1
Somalia,,3.333333333,0
South Africa,1.752973663,9,1
South Sudan,-4.925338005,0,0
Spain,0.321986451,10,1
Sri Lanka,5.63248431,4.4,0
Sudan,3.136354255,-3,0
Sudan-North,2.788152779,-4,0
Suriname,1.676938685,5,0
Swaziland,2.420020013,-9,0
Sweden,1.721247295,10,1
Switzerland,1.47909897,10,1
Syria,,-8.2,0
Tajikistan,6.781564097,-3,0
Tanzania,6.279182708,0.2,0
Thailand,3.08175369,2.1,0
Timor Leste,-4.223637086,8,1
Togo,5.633342234,-2.4,0
Trinidad and Tobago,-0.217000555,10,1
Tunisia,2.300099861,3.1,0
Turkey,5.09301786,4.6,0
Turkmenistan,9.549999999,-8.5,0
UAE,2.896203361,-8,0
Uganda,5.690208947,-1,0
Ukraine,-1.436118997,5.4,0
United Kingdom,1.135233552,9.6,1
United States,1.465000112,9.6,1
Uruguay,4.045156822,10,1
Uzbekistan,7.260513585,-9,0
Venezuela,-3.109526439,0.6,0
Vietnam,6.007846062,-7,0
Yemen,-2.67132129,-0.2,0
Zambia,6.029012228,6.8,1
Zimbabwe,5.64914779,2,0
